[17-Dec-2018 15:19:12] PHP Warning:  file_get_contents(users/andneopy/andneopy_whitelist) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory in /home1/tltsecure/apache2/htdocs/marginaliacss/grabWhitelist.php on line 17
[14-Jan-2019 16:58:36] PHP Warning:  file_get_contents(users/andneopy/andneopy_whitelist) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory in /home1/tltsecure/apache2/htdocs/marginaliacss/grabWhitelist.php on line 17
[14-Jan-2019 16:58:37] PHP Warning:  file_get_contents(users/andneopy/andneopy_whitelist) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory in /home1/tltsecure/apache2/htdocs/marginaliacss/grabWhitelist.php on line 17
[14-Jan-2019 16:58:48] PHP Warning:  file_get_contents(users/andneopy/andneopy_whitelist) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory in /home1/tltsecure/apache2/htdocs/marginaliacss/grabWhitelist.php on line 17
[11-Feb-2019 16:20:39] PHP Warning:  file_get_contents(users/andneopy/andneopy_whitelist) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory in /home1/tltsecure/apache2/htdocs/marginaliacss/grabWhitelist.php on line 17
[13-Feb-2019 14:41:34] PHP Warning:  file_get_contents(users/andneopy/andneopy_whitelist) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory in /home1/tltsecure/apache2/htdocs/marginaliacss/grabWhitelist.php on line 17
[13-Feb-2019 14:41:38] PHP Warning:  file_get_contents(users/andneopy/andneopy_whitelist) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory in /home1/tltsecure/apache2/htdocs/marginaliacss/grabWhitelist.php on line 17
[13-Feb-2019 14:49:51] PHP Warning:  file_get_contents(users/ikleiman:/works/Something..txt) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory in /home1/tltsecure/apache2/htdocs/marginaliacss/grabUserWorkText.php on line 9
[13-Feb-2019 14:53:36] PHP Warning:  file_get_contents(users/ikleiman:/works/Something..txt) [<a href='function.file-get-contents'>function.file-get-contents</a>]: failed to open stream: No such file or directory in /home1/tltsecure/apache2/htdocs/marginaliacss/grabUserWorkText.php on line 9
[13-Feb-2019 19:55:26] PHP Notice:  Undefined variable: localAdmin in /home1/tltsecure/apache2/htdocs/marginaliacss/isAdmin.php on line 10
[13-Feb-2019 19:55:26] PHP Notice:  Undefined property: stdClass::$timeID in /home1/tltsecure/apache2/htdocs/marginaliacss/remove.php on line 31
[13-Feb-2019 19:55:26] PHP Notice:  Undefined property: stdClass::$comCreator in /home1/tltsecure/apache2/htdocs/marginaliacss/remove.php on line 33
[13-Feb-2019 19:55:26] PHP Notice:  Undefined variable: userdir in /home1/tltsecure/apache2/htdocs/marginaliacss/remove.php on line 58
[13-Feb-2019 19:55:26] PHP Notice:  Undefined variable: userdir in /home1/tltsecure/apache2/htdocs/marginaliacss/remove.php on line 84
[13-Feb-2019 17:06:10] PHP Warning:  file_put_contents(users/ikleiman/tmp/TestDoc.docx) [<a href='function.file-put-contents'>function.file-put-contents</a>]: failed to open stream: No such file or directory in /home1/tltsecure/apache2/htdocs/marginaliacss/saveInput.php on line 42
[13-Feb-2019 17:12:06] PHP Catchable fatal error:  Object of class stdClass could not be converted to string in /home1/tltsecure/apache2/htdocs/marginaliacss/saveInput.php on line 14
[15-Feb-2019 14:42:43] PHP Notice:  Undefined index: data in /home1/tltsecure/apache2/htdocs/marginaliacss/saveInput.php on line 7
[15-Feb-2019 14:42:43] PHP Notice:  Trying to get property of non-object in /home1/tltsecure/apache2/htdocs/marginaliacss/saveInput.php on line 8
[15-Feb-2019 14:42:43] PHP Notice:  Trying to get property of non-object in /home1/tltsecure/apache2/htdocs/marginaliacss/saveInput.php on line 9
[15-Feb-2019 14:42:43] PHP Notice:  Trying to get property of non-object in /home1/tltsecure/apache2/htdocs/marginaliacss/saveInput.php on line 10
[15-Feb-2019 14:42:43] PHP Notice:  Trying to get property of non-object in /home1/tltsecure/apache2/htdocs/marginaliacss/saveInput.php on line 11
[15-Feb-2019 14:42:43] PHP Warning:  file_put_contents(users//tmp/.docx) [<a href='function.file-put-contents'>function.file-put-contents</a>]: failed to open stream: No such file or directory in /home1/tltsecure/apache2/htdocs/marginaliacss/saveInput.php on line 44
[15-Feb-2019 14:48:24] PHP Notice:  Undefined index: data in /home1/tltsecure/apache2/htdocs/marginaliacss/saveInput.php on line 7
[15-Feb-2019 14:48:24] PHP Notice:  Trying to get property of non-object in /home1/tltsecure/apache2/htdocs/marginaliacss/saveInput.php on line 8
[15-Feb-2019 14:48:24] PHP Notice:  Trying to get property of non-object in /home1/tltsecure/apache2/htdocs/marginaliacss/saveInput.php on line 9
[15-Feb-2019 14:48:24] PHP Notice:  Trying to get property of non-object in /home1/tltsecure/apache2/htdocs/marginaliacss/saveInput.php on line 10
[15-Feb-2019 14:48:24] PHP Notice:  Trying to get property of non-object in /home1/tltsecure/apache2/htdocs/marginaliacss/saveInput.php on line 11
[15-Feb-2019 14:48:24] PHP Warning:  file_put_contents(users//tmp/.docx) [<a href='function.file-put-contents'>function.file-put-contents</a>]: failed to open stream: No such file or directory in /home1/tltsecure/apache2/htdocs/marginaliacss/saveInput.php on line 44
[15-Feb-2019 14:51:18] PHP Notice:  Undefined index: data in /home1/tltsecure/apache2/htdocs/marginaliacss/saveInput.php on line 10
